"","species","island","bill_length_mm","bill_depth_mm","flipper_length_mm","body_mass_g","sex","year"
"1","Gentoo","Biscoe",46.1,13.2,211,4500,"female",2007
"2","Gentoo","Biscoe",50,16.3,230,5700,"male",2007
"3","Gentoo","Biscoe",48.7,14.1,210,4450,"female",2007
"4","Gentoo","Biscoe",50,15.2,218,5700,"male",2007
"5","Gentoo","Biscoe",47.6,14.5,215,5400,"male",2007
"6","Gentoo","Biscoe",46.5,13.5,210,4550,"female",2007
"7","Gentoo","Biscoe",45.4,14.6,211,4800,"female",2007
"8","Gentoo","Biscoe",46.7,15.3,219,5200,"male",2007
"9","Gentoo","Biscoe",43.3,13.4,209,4400,"female",2007
"10","Gentoo","Biscoe",46.8,15.4,215,5150,"male",2007
"11","Gentoo","Biscoe",40.9,13.7,214,4650,"female",2007
"12","Gentoo","Biscoe",49,16.1,216,5550,"male",2007
"13","Gentoo","Biscoe",45.5,13.7,214,4650,"female",2007
"14","Gentoo","Biscoe",48.4,14.6,213,5850,"male",2007
"15","Gentoo","Biscoe",45.8,14.6,210,4200,"female",2007
"16","Gentoo","Biscoe",49.3,15.7,217,5850,"male",2007
"17","Gentoo","Biscoe",42,13.5,210,4150,"female",2007
"18","Gentoo","Biscoe",49.2,15.2,221,6300,"male",2007
"19","Gentoo","Biscoe",46.2,14.5,209,4800,"female",2007
"20","Gentoo","Biscoe",48.7,15.1,222,5350,"male",2007
"21","Gentoo","Biscoe",50.2,14.3,218,5700,"male",2007
"22","Gentoo","Biscoe",45.1,14.5,215,5000,"female",2007
"23","Gentoo","Biscoe",46.5,14.5,213,4400,"female",2007
"24","Gentoo","Biscoe",46.3,15.8,215,5050,"male",2007
"25","Gentoo","Biscoe",42.9,13.1,215,5000,"female",2007
"26","Gentoo","Biscoe",46.1,15.1,215,5100,"male",2007
"27","Gentoo","Biscoe",44.5,14.3,216,4100,NA,2007
"28","Gentoo","Biscoe",47.8,15,215,5650,"male",2007
"29","Gentoo","Biscoe",48.2,14.3,210,4600,"female",2007
"30","Gentoo","Biscoe",50,15.3,220,5550,"male",2007
"31","Gentoo","Biscoe",47.3,15.3,222,5250,"male",2007
"32","Gentoo","Biscoe",42.8,14.2,209,4700,"female",2007
"33","Gentoo","Biscoe",45.1,14.5,207,5050,"female",2007
"34","Gentoo","Biscoe",59.6,17,230,6050,"male",2007
"35","Gentoo","Biscoe",49.1,14.8,220,5150,"female",2008
"36","Gentoo","Biscoe",48.4,16.3,220,5400,"male",2008
"37","Gentoo","Biscoe",42.6,13.7,213,4950,"female",2008
"38","Gentoo","Biscoe",44.4,17.3,219,5250,"male",2008
"39","Gentoo","Biscoe",44,13.6,208,4350,"female",2008
"40","Gentoo","Biscoe",48.7,15.7,208,5350,"male",2008
"41","Gentoo","Biscoe",42.7,13.7,208,3950,"female",2008
"42","Gentoo","Biscoe",49.6,16,225,5700,"male",2008
"43","Gentoo","Biscoe",45.3,13.7,210,4300,"female",2008
"44","Gentoo","Biscoe",49.6,15,216,4750,"male",2008
"45","Gentoo","Biscoe",50.5,15.9,222,5550,"male",2008
"46","Gentoo","Biscoe",43.6,13.9,217,4900,"female",2008
